album,data,musica,letra
Labirinto da Memória,2024-01-12 00:00:00,Adeus Adeus,"A crença permeava a vida coletiva
Gestos aprendidos por repetição
O invisível sobreposto à narrativa
Um jovem condenado à perdição
O preço da escolha transformada em culpa
O preço da pureza é a castração
Responsabilidade por minha conduta
Viver sem precisar de sua redenção
O sеr onisciente me еscuta em silêncio
Exige penitência e comoção
Eu digo adeus, adeus
Eu digo adeus, adeus
Eu digo adeus, adeus
Eu digo a deus
Um deus que impõe medo
Que pune a felicidade com castigo
E limita o corpo com culpa
De divino não tem nada
Por favor, saia
E feche a porta atrás de você
A crença permeava a vida coletiva
Gestos assumidos por repetição
O invisível sobreposto à narrativa
O jovem condenado à perdição"
Labirinto da Memória,2024-01-12 00:00:00,Dentes Amarelos,"[Verso 1]
Nascemos invencíveis e insaciáveis
Querendo devorar o mundo
Os dentes de leite, não temem a dureza
Nem o amargo da vida
Encaram a pancadas, relevam os tombos
Temperam a vida com sabor e alegria
Crise é engolida sem mastigar
E logo abre um sorriso
[Verso 2]
Cai o primeiro dente, de repente
Tudo passa a ser definitivo
A fragilidade se transforma em medo
Pra preservar, sе recua
Mas seguem as pancadas
Os golpеs e os tombos
A alegria agora parece estar escondida
Verdades indigestas, difícil ignorar
E sustentar um sorriso
[Refrão]
Aprendendo a ter orgulho dos meus dentes amarelos
Que rangem quando falo, mas, se calo, esfarelam
Ainda servindo pra devorar
O mundo em pedaços que uma hora eu engulo
E mesmo com sorrisos mais escassos
Vou digerindo vitórias e fracassos"
Labirinto da Memória,2024-01-12 00:00:00,49,"Sou o primogênito
Continuidade a redenção
O futuro a ser escrito por nós dois
Acima da tristeza, rumo ao amanhã
O seu lugar se tornará o meu
Disputa muda que ninguém escolheu
É a ordem natural, preparação pra vida
A pressão de crescer
Em crescente hostilidade
Nosso jogo de provocações
Fragmentos de uma identidade
Impossível te transmitir
Com palavras duras, me deformou
Mas me ensinou a revidar
Revidei com silêncio
Segura indiferença
Sem saber que era essa
A minha herança
Lembro do seu humor incisivo
Um tanto incorreto
Futuro coletivo
Almoços de domingo
Casa cheia, cheia de vida
Crescer
Em crescente hostilidade
Nosso jogo de provocações
O fim é uma certeza indesejada
Sem chance pra me despedir
Seria muito bom se pudéssemos nos ver
Seria um privilégio receber conselho de você
Hoje temos a mesma idade, mas agora o pai sou eu
Vivendo outros conflitos, um caminho novo pra seguir
Em crescente hostilidade
Nosso jogo de provocações
O fim é uma certeza indesejada
Sem chance pra me despedir"
Labirinto da Memória,2024-01-12 00:00:00,Avenida Maruípe,"Éramos nós
Os bons de bola
Os maiorais
Da nossa área
As tardes de sol
Na rua de trás
A imensa liberdade que existia
A Pedra dos Dois Olhos
A testemunhar
A fé longe da igreja
A avenida em frente ao meu quintal
Separava a infância do regime militar
O abacateiro, a casa e o futebol
Protegiam os sonhos de um indomável coração
Driblando o pesadelo
E observando
Os caminhões levavam
As toras gigantes
Recém cortadas da Mata Atlântica
Pequenos furtos
Mais e mais constantes
Pra alimentar o “milagre еconômico""
Vou tentando entendеr
Olhando ao meu redor
Uma transformação está no ar
O povo a crescer
Erguendo sua voz
O movimento das diretas já
Na avenida em frente ao meu quintal
Passavam milicos espalhando o mal-estar
Um faz de conta que tudo é normal
Medo e paranoia silenciam a razão
A revolta represada
Ia transbordar
Conhecendo a vida
Do outro lado da avenida
A história vira um grande conto de terror
O medo que afligia
Grande parte das famílias
Os filhos que um dia a ditadura torturou
Foram-se os dias
Que o quintal me protegia
Além da avenida o mundo mudou
A avenida em frente ao meu quintal
Separava a infância do regime militar
Chega a hora de modificar
Um novo capítulo, um novo desafio a enfrentar
Sempre lembrar pra nunca repetir"
Labirinto da Memória,2024-01-12 00:00:00,Interrupção,"Sem dizer, sentir
O mal está padrão
O ar a sufocar
Desviar sem poder fugir
Banalizando a dor
Cotidiano ensanguentado
Interrupção
O desespero funcional
Beirando o fim
O ódio e a razão
Tentam se equilibrar
Sem saber o que lhe atingiu
Tenta contra-atacar
Quer justificar o injustificável
Controlar a narrativa
Achar algum sentido
Onde não há nenhum
Todo o sofrimento é individual
Coletiva solidão
A reação nem sempre é racional
E o ciclo se sustenta
Colecione esgotamento
Interrupção
O conflito indistinto
Tragédia padrão
Quer justificar o injustificávеl
Controlar a narrativa
Achar algum sentido
Onde não há nenhum
Entrе corações partidos, filas, ônibus lotados
Solidão, “burnoutando” em sonhos liberais
Comida envenenada, água com chorume
Dívida, remedinhos, depressões
Ninguém suporta mais
Interrupção
Interrupção
Interrupção
Interrupção"
Labirinto da Memória,2024-01-12 00:00:00,Estaremos Lá,"Para validar a mentira
Contada pelo interventor
O discurso de ordem apela
Sempre a um novo matador
Quando a mídia chamou Golbery de astuto
Quase esquecemos quem criou o SNI
Toda a verdade escancarada no Riocentro
A retirada estratégica do general
Eu cantava o hino
Todas as letras em alto e bom som
A Montessori era nossa guia
Mas hasteando este brasão
Com honra e paixão
Edmilson resolveu deixar de ser escravo
Cuspiu de volta tudo o que recebeu
Só mais um cândido pra ser crucificado
Só mais um trabalho limpo pra Le Coq
Eu cantava o hino
E também estava lá
Com os que matavam, com os que morriam
Todos prontos pra desaparecer
E esperamos tanto tempo
Pra tentar contar a história
Muitos séculos e gerações
Quanta dor e sangue
Quanta manipulação podemos suportar?
Mais um ano mais um dia?
Que o eterno medo se transforme em força"
Labirinto da Memória,2024-01-12 00:00:00,Aos Poucos,"Estou aqui para te proteger
Foi isso que disseram para mim
Aprendi que esse é o meu papel
E digo a você
Ensino a você
Andar por essas ruas exige jogo de cintura
Mesmo que cantemos nas calçadas
Enquanto ousarmos caminhar
Muita coisa ficará pra trás
Aos poucos vive-se um pouco
E pouco a pouco
Vou aprendendo mais
É difícil mensurar o quanto sobreviverá
Se a felicidade vai morrer um pouco mais
Sei que estou aqui para te proteger
Assim aprendi
Assim seguirei
Vivendo na cidade
Que se alimеnta de ruínas
Devorando sonhos e sorrisos
Enquanto ousarmos caminhar
Muita coisa ficará pra trás
O amor sufoca quеm nos ama
Vou transmitindo o que aprendi
Dou meu melhor e te deformo
Melhor pro mundo, pior pra ti
Enquanto vai parando de sonhar
Vai se tornando pragmática
Estou te dando o melhor
Da minha neurose
Muito ficará pra trás
Assim que é e assim será
(Pouco a pouco)"
Labirinto da Memória,2024-01-12 00:00:00,Criança Versus Criança,"Houve um tempo
Quanto tempo faz?
Você consegue se lembrar
Quando éramos
Melhores inimigos
Adorávamos nos odiar
Você consegue agora perceber
O quanto estávamos inseridos
Em nossa exclusão excludente
E como era tão divertido
Você tem noção do tempo?
Acho que ninguém tem
Quanto foi que nós perdemos?
Quando o sonho se desfez?
O quanto estávamos condicionados
Errando alegremente, culpando impunimente
Sendo criança versus criança
E como era tão divertido
Acho que sobrevivemos
A uma realidade muito dura
A precificação dos corpos
O extermínio da sutileza
Militarização dos sentimentos
Te vejo sempre aos pedaços
Atomizado e medicado
Nem inimigos somos mais
A nostalgia foi quem te matou"
Labirinto da Memória,2024-01-12 00:00:00,Labirinto da Memória,"Tentando mapear
O labirinto da memória
O fato vira sentimento
E tudo muda de lugar
Não deixar registro
É não deixar vestígio
Queria traduzir (eu)
Queria transmitir (eu)
Eu queria que fosse mais fácil
Tentando desvendar
Espalhar pistas pelo caminho
Histórias e conflitos
Reflexo distorcido
Que o tempo varrerá
Ninguém para lembrar
Ninguém para contar
Ou ensinar o que custamos aprender
Nada para guiar
Ao começar, se perder
Tente acessar, decodificar
E ensinar o que custamos aprеnder
Pra facilitar, continuar
E vencer
Não trago rеspostas, tento entender
Usando a memória para reconhecer
Os becos sem saída, ilusões e armadilhas
Que impedem de seguir
Mas cada um faz seu caminho
(E nessa confusão)
Cada um faz seu caminho
(Estão as pistas que indicam a direção)
Mas cada um tem seu caminho
Cada um faz seu caminho
(Não deixar)
E cada labirinto é um novo labirinto a decifrar"
Labirinto da Memória,2024-01-12 00:00:00,11 de Setembro,"Melhor um ditador que alguém da esquerda
Pra libertar o mercado
Aumenta a repressão e a pobreza
Reduz seguridade social
Estado mínimo posto em ação
Força jurídica e policial
Pra garantir os lucros
Quem quiser que corra atrás
Reduz o auxílio do governo
Quando o assunto é povo
Mas segue resguardando as empresas
Com a benção da 
Do um pra um ao cada um por si
E todos contra todos
Do um pra um ao cada um por si
E contra todos
Fale baixo, fale baixo
Não queremos assustar o mercado
Precarizar é bom pro bolso
É tão difícil ser patrão
É o objetivo
É o método
Mudar a alma
Mudar a alma"
