album,data,musica,letra
labirinto da memória,2024-01-12T00:00:00.000000,adeus adeus,"a crença permeava a vida coletiva gestos aprendidos por repetição o invisível sobreposto à narrativa um jovem condenado à perdição o preço da escolha transformada em culpa o preço da pureza é a castração responsabilidade por minha conduta viver sem precisar de sua redenção o sеr onisciente me еscuta em silêncio exige penitência e comoção eu digo adeus, adeus eu digo adeus, adeus eu digo adeus, adeus eu digo a deus um deus que impõe medo que pune a felicidade com castigo e limita o corpo com culpa de divino não tem nada por favor, saia e feche a porta atrás de você a crença permeava a vida coletiva gestos assumidos por repetição o invisível sobreposto à narrativa o jovem condenado à perdição"
labirinto da memória,2024-01-12T00:00:00.000000,dentes amarelos,"nascemos invencíveis e insaciáveis querendo devorar o mundo os dentes de leite, não temem a dureza nem o amargo da vida encaram a pancadas, relevam os tombos temperam a vida com sabor e alegria crise é engolida sem mastigar e logo abre um sorriso cai o primeiro dente, de repente tudo passa a ser definitivo a fragilidade se transforma em medo pra preservar, sе recua mas seguem as pancadas os golpеs e os tombos a alegria agora parece estar escondida verdades indigestas, difícil ignorar e sustentar um sorriso aprendendo a ter orgulho dos meus dentes amarelos que rangem quando falo, mas, se calo, esfarelam ainda servindo pra devorar o mundo em pedaços que uma hora eu engulo e mesmo com sorrisos mais escassos vou digerindo vitórias e fracassos"
labirinto da memória,2024-01-12T00:00:00.000000,49,"sou o primogênito continuidade a redenção o futuro a ser escrito por nós dois acima da tristeza, rumo ao amanhã o seu lugar se tornará o meu disputa muda que ninguém escolheu é a ordem natural, preparação pra vida a pressão de crescer em crescente hostilidade nosso jogo de provocações fragmentos de uma identidade impossível te transmitir com palavras duras, me deformou mas me ensinou a revidar revidei com silêncio segura indiferença sem saber que era essa a minha herança lembro do seu humor incisivo um tanto incorreto futuro coletivo almoços de domingo casa cheia, cheia de vida crescer em crescente hostilidade nosso jogo de provocações o fim é uma certeza indesejada sem chance pra me despedir seria muito bom se pudéssemos nos ver seria um privilégio receber conselho de você hoje temos a mesma idade, mas agora o pai sou eu vivendo outros conflitos, um caminho novo pra seguir em crescente hostilidade nosso jogo de provocações o fim é uma certeza indesejada sem chance pra me despedir"
labirinto da memória,2024-01-12T00:00:00.000000,avenida maruípe,"éramos nós os bons de bola os maiorais da nossa área as tardes de sol na rua de trás a imensa liberdade que existia a pedra dos dois olhos a testemunhar a fé longe da igreja a avenida em frente ao meu quintal separava a infância do regime militar o abacateiro, a casa e o futebol protegiam os sonhos de um indomável coração driblando o pesadelo e observando os caminhões levavam as toras gigantes recém cortadas da mata atlântica pequenos furtos mais e mais constantes pra alimentar o “milagre еconômico"" vou tentando entendеr olhando ao meu redor uma transformação está no ar o povo a crescer erguendo sua voz o movimento das diretas já na avenida em frente ao meu quintal passavam milicos espalhando o mal-estar um faz de conta que tudo é normal medo e paranoia silenciam a razão a revolta represada ia transbordar conhecendo a vida do outro lado da avenida a história vira um grande conto de terror o medo que afligia grande parte das famílias os filhos que um dia a ditadura torturou foram-se os dias que o quintal me protegia além da avenida o mundo mudou a avenida em frente ao meu quintal separava a infância do regime militar chega a hora de modificar um novo capítulo, um novo desafio a enfrentar sempre lembrar pra nunca repetir"
labirinto da memória,2024-01-12T00:00:00.000000,interrupção,"sem dizer, sentir o mal está padrão o ar a sufocar desviar sem poder fugir banalizando a dor cotidiano ensanguentado interrupção o desespero funcional beirando o fim o ódio e a razão tentam se equilibrar sem saber o que lhe atingiu tenta contra-atacar quer justificar o injustificável controlar a narrativa achar algum sentido onde não há nenhum todo o sofrimento é individual coletiva solidão a reação nem sempre é racional e o ciclo se sustenta colecione esgotamento interrupção o conflito indistinto tragédia padrão quer justificar o injustificávеl controlar a narrativa achar algum sentido onde não há nenhum entrе corações partidos, filas, ônibus lotados solidão, “burnoutando” em sonhos liberais comida envenenada, água com chorume dívida, remedinhos, depressões ninguém suporta mais interrupção interrupção interrupção interrupção"
labirinto da memória,2024-01-12T00:00:00.000000,estaremos lá,"para validar a mentira contada pelo interventor o discurso de ordem apela sempre a um novo matador quando a mídia chamou golbery de astuto quase esquecemos quem criou o sni toda a verdade escancarada no riocentro a retirada estratégica do general eu cantava o hino todas as letras em alto e bom som a montessori era nossa guia mas hasteando este brasão com honra e paixão edmilson resolveu deixar de ser escravo cuspiu de volta tudo o que recebeu só mais um cândido pra ser crucificado só mais um trabalho limpo pra le coq eu cantava o hino e também estava lá com os que matavam, com os que morriam todos prontos pra desaparecer e esperamos tanto tempo pra tentar contar a história muitos séculos e gerações quanta dor e sangue quanta manipulação podemos suportar? mais um ano mais um dia? que o eterno medo se transforme em força"
labirinto da memória,2024-01-12T00:00:00.000000,aos poucos,"estou aqui para te proteger foi isso que disseram para mim aprendi que esse é o meu papel e digo a você ensino a você andar por essas ruas exige jogo de cintura mesmo que cantemos nas calçadas enquanto ousarmos caminhar muita coisa ficará pra trás aos poucos vive-se um pouco e pouco a pouco vou aprendendo mais é difícil mensurar o quanto sobreviverá se a felicidade vai morrer um pouco mais sei que estou aqui para te proteger assim aprendi assim seguirei vivendo na cidade que se alimеnta de ruínas devorando sonhos e sorrisos enquanto ousarmos caminhar muita coisa ficará pra trás o amor sufoca quеm nos ama vou transmitindo o que aprendi dou meu melhor e te deformo melhor pro mundo, pior pra ti enquanto vai parando de sonhar vai se tornando pragmática estou te dando o melhor da minha neurose muito ficará pra trás assim que é e assim será (pouco a pouco)"
labirinto da memória,2024-01-12T00:00:00.000000,criança versus criança,"houve um tempo quanto tempo faz? você consegue se lembrar quando éramos melhores inimigos adorávamos nos odiar você consegue agora perceber o quanto estávamos inseridos em nossa exclusão excludente e como era tão divertido você tem noção do tempo? acho que ninguém tem quanto foi que nós perdemos? quando o sonho se desfez? o quanto estávamos condicionados errando alegremente, culpando impunimente sendo criança versus criança e como era tão divertido acho que sobrevivemos a uma realidade muito dura a precificação dos corpos o extermínio da sutileza militarização dos sentimentos te vejo sempre aos pedaços atomizado e medicado nem inimigos somos mais a nostalgia foi quem te matou"
labirinto da memória,2024-01-12T00:00:00.000000,labirinto da memória,"tentando mapear o labirinto da memória o fato vira sentimento e tudo muda de lugar não deixar registro é não deixar vestígio queria traduzir (eu) queria transmitir (eu) eu queria que fosse mais fácil tentando desvendar espalhar pistas pelo caminho histórias e conflitos reflexo distorcido que o tempo varrerá ninguém para lembrar ninguém para contar ou ensinar o que custamos aprender nada para guiar ao começar, se perder tente acessar, decodificar e ensinar o que custamos aprеnder pra facilitar, continuar e vencer não trago rеspostas, tento entender usando a memória para reconhecer os becos sem saída, ilusões e armadilhas que impedem de seguir mas cada um faz seu caminho (e nessa confusão) cada um faz seu caminho (estão as pistas que indicam a direção) mas cada um tem seu caminho cada um faz seu caminho (não deixar) e cada labirinto é um novo labirinto a decifrar"
labirinto da memória,2024-01-12T00:00:00.000000,11 de setembro,"melhor um ditador que alguém da esquerda pra libertar o mercado aumenta a repressão e a pobreza reduz seguridade social estado mínimo posto em ação força jurídica e policial pra garantir os lucros quem quiser que corra atrás reduz o auxílio do governo quando o assunto é povo mas segue resguardando as empresas com a benção da do um pra um ao cada um por si e todos contra todos do um pra um ao cada um por si e contra todos fale baixo, fale baixo não queremos assustar o mercado precarizar é bom pro bolso é tão difícil ser patrão é o objetivo é o método mudar a alma mudar a alma"
